INFO: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
LLM preflight
  Provider: OpenAI
  Model: gpt-5.6-sol
  Authentication: verified
2026-08-13 16:52:19,353 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:20,203 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:20,297 [INFO] openai._base_client: Retrying request to /responses in 0.376728 seconds
2026-08-13 16:52:21,246 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:21,294 [INFO] openai._base_client: Retrying request to /responses in 0.992279 seconds
2026-08-13 16:52:22,983 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:23,010 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:23,010 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:23,694 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:23,720 [INFO] openai._base_client: Retrying request to /responses in 0.477091 seconds
2026-08-13 16:52:24,723 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:24,735 [INFO] openai._base_client: Retrying request to /responses in 0.924555 seconds
2026-08-13 16:52:26,406 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:26,407 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:26,407 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:27,124 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:27,124 [INFO] openai._base_client: Retrying request to /responses in 0.432677 seconds
2026-08-13 16:52:31,650 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:31,691 [INFO] openai._base_client: Retrying request to /responses in 0.772759 seconds
2026-08-13 16:52:33,020 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:33,046 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:33,046 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:33,848 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:33,939 [INFO] openai._base_client: Retrying request to /responses in 0.480220 seconds
2026-08-13 16:52:34,989 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:35,009 [INFO] openai._base_client: Retrying request to /responses in 0.988941 seconds
2026-08-13 16:52:36,753 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:36,790 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:36,791 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:37,763 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:37,791 [INFO] openai._base_client: Retrying request to /responses in 0.420598 seconds
2026-08-13 16:52:39,084 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:39,182 [INFO] openai._base_client: Retrying request to /responses in 0.902065 seconds
2026-08-13 16:52:40,669 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:40,756 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:40,756 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:41,901 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:41,932 [INFO] openai._base_client: Retrying request to /responses in 0.381857 seconds
2026-08-13 16:52:43,068 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:43,185 [INFO] openai._base_client: Retrying request to /responses in 0.910386 seconds
2026-08-13 16:52:44,604 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:44,630 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:44,630 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:45,473 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:45,482 [INFO] openai._base_client: Retrying request to /responses in 0.377345 seconds
2026-08-13 16:52:46,523 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:46,533 [INFO] openai._base_client: Retrying request to /responses in 0.988778 seconds
2026-08-13 16:52:48,143 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:48,144 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:48,145 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:48,764 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:48,789 [INFO] openai._base_client: Retrying request to /responses in 0.489117 seconds
2026-08-13 16:52:50,193 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:50,221 [INFO] openai._base_client: Retrying request to /responses in 0.914917 seconds
2026-08-13 16:52:51,764 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:51,764 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:51,764 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:52,628 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:52,646 [INFO] openai._base_client: Retrying request to /responses in 0.396060 seconds
2026-08-13 16:52:53,879 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:53,920 [INFO] openai._base_client: Retrying request to /responses in 0.910651 seconds
2026-08-13 16:52:55,369 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:55,394 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:55,394 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:56,292 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:56,292 [INFO] openai._base_client: Retrying request to /responses in 0.415447 seconds
2026-08-13 16:52:57,422 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:57,454 [INFO] openai._base_client: Retrying request to /responses in 0.971015 seconds
2026-08-13 16:52:59,176 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:59,207 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:59,208 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:53:00,094 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:53:00,129 [INFO] openai._base_client: Retrying request to /responses in 0.410339 seconds
2026-08-13 16:53:01,967 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:53:01,968 [INFO] openai._base_client: Retrying request to /responses in 0.990125 seconds
2026-08-13 16:53:03,810 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:53:03,811 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:53:03,811 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:53:04,558 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:53:04,570 [INFO] openai._base_client: Retrying request to /responses in 0.376498 seconds
2026-08-13 16:53:05,590 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:53:05,645 [INFO] openai._base_client: Retrying request to /responses in 0.955486 seconds
2026-08-13 16:53:07,293 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:53:07,325 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:53:07,326 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:53:08,180 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:53:08,182 [INFO] openai._base_client: Retrying request to /responses in 0.429070 seconds
2026-08-13 16:53:09,762 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:53:09,781 [INFO] openai._base_client: Retrying request to /responses in 0.965863 seconds
2026-08-13 16:53:11,387 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:53:11,388 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:53:11,389 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:53:11,399 [INFO] pipeline: Stage 3: 134 completed, 145 failed, 2 not required

  /private/tmp/claude-501/-Users-vitaliikarasov-Desktop-photo-ai-toolkit/954c0afd-0151-4fec-b352-19072911b25a/scratchpad/v2/report.html
  /private/tmp/claude-501/-Users-vitaliikarasov-Desktop-photo-ai-toolkit/954c0afd-0151-4fec-b352-19072911b25a/scratchpad/v2/photographer_insights.html
  top/ 0, good_stock/ 104, good_personal/ 146, needs_decision/ 0, weak/ 31
  edit_recipes/ 44 edit recipe(s)
  4 file(s) proposed for removal (nothing has been moved)

==================================================================
COLLECTION SUMMARY
==================================================================
  Analysis mode                               local + semantic

  Total assets                                    281

  What these photographs are:
    Top                                             0
    Good — stock                                  104
    Good — personal                               146
    Needs decision                                  0
    Weak                                           31
  (nothing reached TOP: the best photograph scored 82, and TOP needs 85)

  Duplicate clusters                               43

  Strongest assets:
    [ 82] P1019467.JPG
    [ 80] P1019471.JPG
    [ 79] P1019468.JPG
    [ 79] P1019470.JPG
    [ 79] P1019516.JPG
    [ 79] P1019517.JPG
    [ 79] P1019518.JPG
    [ 79] P1019519.JPG

  These are suggestions, not verdicts -- a score is one opinion
  about a photograph. Nothing has been moved, changed or deleted:
  the folders hold links to your original files.
==================================================================

Run
  New assets analysed:      261
  Modified re-analysed:     0
  Unchanged reused:         20
  LLM calls:                29  (stage2 29)
  Content check completed:  281
  Artistic read completed:  134
  Artistic read failed:     145
  Report:                   /private/tmp/claude-501/-Users-vitaliikarasov-Desktop-photo-ai-toolkit/954c0afd-0151-4fec-b352-19072911b25a/scratchpad/v2/report.html

4 file(s) would move, 24.5 MB:
      4  unrecoverable problems: ?

Nothing has been moved. Re-run with --apply to carry this out.
